#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
OK426,20240322093000:  166    ,     ----,  930----,  404----,  980----,     ----,     ----,     ----, 2400----, 1270    , 1346----,     ----, 1320X   , 2779----,  406----,  464----,     ----,  132----, 3940----,-----    ,-----    ,     ----,-----    
OK426,20240322094500:  198    ,     ----,  930----,  420----,  980----,     ----,     ----,     ----, 2280----, 1254    , 1286----,     ----, 1292X   , 2938----,  422----,  480----,     ----,   84----, 3729----,-----    ,-----    ,     ----,-----    
OK426,20240322100000:  186    ,     ----,  920----,  432----,  960----,  468----,     ----,     ----, 2640----, 1278    , 1310----,     ----, 1296X   , 3178----,  438----,  492----,     ----,   84----, 3632----,-----    ,-----    ,     ----,-----    
OK426,20240322101500:  210    ,     ----,  930----,  444----,  960----,  498----,     ----,     ----, 2480----, 1302    , 1314----,     ----, 1320X   , 3019----,  482----,  504----,     ----,  108----, 3715----,-----    ,-----    ,     ----,-----    
OK426,20240322103000:  214    ,     ----,  930----,  444----,  960----,  744----,     ----,     ----, 2800----, 1342    , 1394----,     ----, 1372X   , 3511----,  494----,  504----,     ----,  108----, 3678----,-----    ,-----    ,     ----,-----    
OK426,20240322104500:  222    ,     ----,  930----,  444----,  960----,     ----,     ----,     ----, 2760----, 1418    , 1454----,     ----, 1444X   , 3132----,  442----,  504----,     ----,  132----, 4138----,-----    ,-----    ,     ----,-----    
OK426,20240322110000:  206    ,     ----,  930----,  440----,  980----,     ----,     ----,     ----, 2660----, 1458    , 1518----,     ----, 1472X   , 3080----,  438----,  500----,     ----,   72----, 4294----,-----    ,-----    ,     ----,-----    
OK426,20240322111500:  214    ,     ----,  920----,  440----,  960----,     ----,     ----,     ----, 2660----, 1490    , 1542----,     ----, 1496X   , 2986----,  438----,  500----,     ----,   72----, 4452----,-----    ,-----    ,     ----,-----    
OK426,20240322113000:  198    ,     ----,  920----,  380----,  960----,     ----,     ----,     ----, 2400----, 1526    , 1534----,     ----, 1520X   , 2967----,  426----,  440----,     ----,   84----, 4565----,-----    ,-----    ,     ----,-----    
OK426,20240322114500:  170    ,     ----,  980----,  436----,  960----,     ----,     ----,     ----, 2600----, 1486    , 1502----,     ----, 1496X   , 2996----,  442----,  496----,     ----,   84----, 4396----,-----    ,-----    ,     ----,-----    
