#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240322174500:  150    ,     ----,  860----,  212----,  840----,     ----,     ----, 2500----, 2240----,  850    ,  918----,     ----,  920X   , 2777----,  242----,  272----,     ----,  132----, 2711----,-----    ,-----    ,     ----,-----    
WK546,20240322180000:  146    ,     ----,  800----,  220----,  840----,     ----,     ----, 2640----, 2200----,  854    ,  906----,     ----,  908X   , 2854----,  242----,  280----,     ----,  108----, 2660----,-----    ,-----    ,     ----,-----F   
WK546,20240322181500:  150    ,     ----,  860----,  224----,  960----,     ----,     ----,     ----, 2260----,  842    ,  890----,     ----,  892X   , 3085----,  230----,  284----,     ----,  108----, 2484----,-----    ,-----    ,     ----,-----    
WK546,20240322183000:  150    ,     ----,  860----,  228----,  960----,     ----,     ----, 2700----, 2280----,  774    ,  846----,     ----,  868X   , 3086----,  234----,  288----,     ----,  132----, 2439----,-----    ,-----    ,     ----,-----    
WK546,20240322184500:  154    ,     ----,  800----,  228----,  960----,     ----,     ----,     ----, 2480----,  802    ,  878----,     ----,  868X   , 3160----,  230----,  288----,     ----,  108----, 2351----,-----    ,-----    ,     ----,-----    
WK546,20240322190000:  150    ,     ----,  860----,  212----,  960----,     ----,     ----,     ----, 2540----,  798    ,  846----,     ----,  828X   , 2863----,  234----,  272----,     ----,     ----, 2474----,-----    ,-----    ,     ----,-----F   
WK546,20240322191500:  154    ,     ----,  860----,  208----,  960----,     ----,     ----,     ----, 2400----,  770    ,  882----,     ----,  844X   , 3172----,  238----,  268----,     ----,   96----, 2353----,-----    ,-----    ,     ----,-----    
WK546,20240322193000:  162    ,     ----,  920----,  196----,  960----,     ----,     ----,     ----, 2600----,  806    ,  822----,     ----,  840X   , 3428----,  230----,  256----,     ----,   96----, 2203----,-----    ,-----    ,     ----,-----    
WK546,20240322194500:  158    ,     ----,  980----,  216----,  960----,     ----,     ----,     ----, 2580----,  766    ,  846----,     ----,  768X   , 3052----,  238----,  276----,     ----,  108----, 2147----,-----    ,-----    ,     ----,-----F   
WK546,20240322200000:  158    ,     ----,  900----,     ----,  960----,     ----,     ----, 2900----, 2580----,  794    ,  830----,     ----,  840X   , 3306----,  230----,     ----,     ----,  132----, 2274----,-----G   ,-----    ,     ----,-----    
WK546,20240322201500:  158    ,     ----,     ----,     ----,  980----,     ----,     ----, 2940----, 2540----,  790    ,  878----,     ----,  828X   , 3046----,  226----,     ----,     ----,     ----, 2324----,-----G   ,-----    ,     ----,-----F   
WK546,20240322203000:  162    ,     ----,  900----,  176----,  960----,     ----,     ----, 2780----, 2520----,  802    ,  874----,     ----,  856X   , 2721----,  266----,  236----,     ----,  108----, 2179----,-----    ,-----    ,     ----,-----    
WK546,20240322204500:  162    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2440----,  786    ,  838----,     ----,  780X   , 2777----,  226----,     ----,     ----,  108----, 2304----,-----G   ,-----    ,     ----,-----    
WK546,20240322210000:  162    ,     ----, 1020----,     ----,  940----,     ----,     ----,     ----, 2340----,  754    ,  822----,     ----,  732X   , 2662----,  350----,     ----,     ----,   72----, 2255----,-----G   ,-----    ,     ----,-----    
WK546,20240322211500:  166    ,     ----,  920----,     ----,  980----,     ----,     ----,     ----, 2340----,  734    ,  790----,     ----,  780X   , 2912----,  222----,     ----,     ----,  120----, 1990----,-----G   ,-----    ,     ----,-----    
WK546,20240322213000:  162    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2400----,  718    ,  766----,     ----,  780X   , 2430----,  222----,     ----,     ----,  120----, 2082----,-----G   ,-----    ,     ----,-----    
WK546,20240322214500:  150    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2400----,  686    ,  758----,     ----,  732X   , 3036----,  206----,     ----,     ----,   72----, 2029----,-----G   ,-----    ,     ----,-----    
WK546,20240322220000:  154    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2320----,  634    ,  714----,     ----,  644X   , 2435----,  210----,     ----,     ----,   84----, 2100----,-----G   ,-----    ,     ----,-----    
WK546,20240322221500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2440----,  622    ,  690----,     ----,  608X   , 2980----,     ----,     ----,     ----,   96----, 1866----,-----G   ,-----    ,     ----,-----    
WK546,20240322223000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2480----,  626    ,  698----,     ----,  704X   , 3186----,     ----,     ----,     ----,   36----, 1838----,-----G   ,-----    ,     ----,-----    
