#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240324111500:  562    ,     ----,     ----,  562----,     ----,  562----,     ----, 2580----, 3120----, 1190    , 1234----,     ----, 1190X   , 3251----,     ----,     ----,     ----, 9999----, 3224----,-----G   ,-----    ,     ----,-----    
TO536,20240324113000:  614    ,     ----,     ----,  614----,     ----,  614----,     ----, 2820----, 3280----, 1214    , 1282----,     ----, 1214X   , 3520----,     ----,     ----,     ----,     ----, 3413----,-----G   ,-----    ,     ----,-----    
TO536,20240324114500:  510    ,     ----,     ----,  510----,     ----,  510----,     ----, 2460----, 2900----, 1246    , 1302----,     ----, 1246X   , 3392----,     ----,     ----,     ----, 9999----, 3510----,-----G   ,-----    ,     ----,-----F   
TO536,20240324120000:  486    ,     ----,     ----,  486----,     ----,  486----,     ----, 2340----, 2580----, 1262    , 1322----,     ----, 1262X   , 3449----,     ----,     ----,     ----,   36----, 3574----,-----G   ,-----    ,     ----,-----    
TO536,20240324121500:  362    ,     ----,     ----,  366----,     ----,  366----,     ----, 2460----, 2560----, 1262    , 1334----,     ----, 1262X   , 3370----,  426----,     ----,     ----,     ----, 3566----,-----G   ,-----    ,     ----,-----    
TO536,20240324123000:  342    ,     ----, 1000----,  354----,  990----,  354----,     ----, 2580----, 3020----, 1282    , 1354----,     ----, 1282X   , 3379----,  414----,  407----,     ----, 9999----, 3666----,-----    ,-----    ,     ----,-----    
TO536,20240324124500:  542    ,     ----,     ----,  542----,     ----,  542----,     ----, 2580----, 2940----, 1294    , 1362----,     ----, 1294X   , 3243----,     ----,     ----,     ----, 9999----, 3601----,-----G   ,-----    ,     ----,-----    
TO536,20240324130000:  346    ,     ----, 1000----,  334----,     ----,  334----,     ----, 2440----, 2900----, 1314    , 1374----,     ----, 1314X   , 3201----,  394----,     ----,     ----,     ----, 3869----,-----G   ,-----    ,     ----,-----    
TO536,20240324131500:  354    ,     ----, 1000----,  330----,  990----,  330----,     ----, 2320----, 2800----, 1342    , 1410----,     ----, 1342X   , 3331----,  390----,  391----,     ----,     ----, 3823----,-----    ,-----    ,     ----,-----    
TO536,20240324133000:  338    ,     ----,  980----,  342----,  910----,  342----,     ----, 2320----, 2560----, 1358    , 1406----,     ----, 1358X   , 3316----,  402----,  407----,     ----,     ----, 3892----,-----    ,-----    ,     ----,-----    
TO536,20240324134500:  186    ,     ----,  980----,  322----,  990----,  322----,     ----, 2340----, 2480----, 1358    , 1422----,     ----, 1358X   , 3278----,  382----,  365----,     ----,     ----, 3912----,-----    ,-----    ,     ----,-----    
TO536,20240324140000:  314    ,     ----, 1040----,  310----,  980----,  310----,     ----, 2260----, 2480----, 1354    , 1418----,     ----, 1354X   , 3267----,  370----,  373----,     ----,     ----, 3942----,-----    ,-----    ,     ----,-----    
TO536,20240324141500:  314    ,  370----,  930----,  310----,  960----,  310----,     ----, 2160----, 2620----, 1350    , 1414----,     ----, 1350X   , 3158----,  370----,  369----,     ----,   84----, 4014----,-----    ,-----    ,     ----,-----    
TO536,20240324143000:  310    ,     ----,  980----,  310----,  980----,  310----,     ----, 2300----, 2440----, 1314    , 1370----,     ----, 1314X   , 3023----,  370----,  373----,     ----,  132----, 3986----,-----    ,-----    ,     ----,-----    
TO536,20240324144500:  290    ,     ----,  980----,  318----,  980----,  318----,     ----, 2300----, 2640----, 1270    , 1350----,     ----, 1270X   , 3251----,  378----,  369----,     ----,     ----, 3636----,-----    ,-----    ,     ----,-----    
TO536,20240324150000:  242    ,     ----,  980----,  298----,  980----,  298----,     ----, 2140----, 2640----, 1250    , 1318----,     ----, 1250X   , 3104----,  358----,  361----,     ----,  133----, 3657----,-----    ,-----    ,     ----,-----    
TO536,20240324151500:  286    ,  346----, 1110----,  286----, 1070----,  286----,     ----, 2140----, 2640----, 1230    , 1294----,     ----, 1230X   , 2953----,  346----,  348----,     ----,  120----, 3728----,-----    ,-----    ,     ----,-----    
TO536,20240324153000:  210    ,  334----,  990----,  326----, 1000----,  326----,     ----, 2180----,     ----, 1206    , 1266----,     ----, 1206X   , 3451----,  386----,  321----,     ----,  120----, 3411----,-----    ,-----    ,     ----,-----    
TO536,20240324154500:  182    ,     ----,  930----,  318----, 1000----,  318----,     ----, 2280----,     ----, 1182    , 1250----,     ----, 1182X   , 3056----,  378----,  382----,     ----,     ----, 3503----,-----    ,-----    ,     ----,-----    
TO536,20240324160000:  186    ,  342----,  980----,  318----, 1000----,  318----,     ----, 2240----,     ----, 1166    , 1246----,     ----, 1166X   , 3059----,  378----,  369----,     ----,   96----, 3463----,-----    ,-----    ,     ----,-----    
TO536,20240324161500:  190    ,     ----,  980----,  290----,  980----,  290----,     ----, 2300----,     ----, 1166    , 1238----,     ----, 1166X   , 3070----,  350----,  352----,     ----,   96----, 3463----,-----    ,-----    ,     ----,-----    
TO536,20240324163000:  182    ,  274----, 1040----,  214----,  840----,  214----,     ----, 5520----,     ----, 1166    , 1234----,     ----, 1166X   , 2948----,  274----,  281----,     ----,   96----, 3538----,-----    ,-----    ,     ----,-----    
TO536,20240324164500:  190    ,  266----,  930----,  206----,  960----,  206----,     ----, 2340----,     ----, 1166    , 1234----,     ----, 1166X   , 2801----,  266----,  268----,     ----,  108----, 3640----,-----    ,-----    ,     ----,-----    
TO536,20240324170000:  178    ,  262----,  980----,  270----,  960----,  270----,     ----, 4740----,     ----, 1162    , 1234----,     ----, 1162X   , 2965----,  330----,  333----,     ----,  108----, 3577----,-----    ,-----    ,     ----,-----    
TO536,20240324171500:  166    ,     ----,  980----,  302----,  980----,  302----,     ----, 2300----,     ----, 1162    , 1230----,     ----, 1162X   , 2678----,  362----,  361----,     ----,   96----, 3666----,-----    ,-----    ,     ----,-----    
TO536,20240324173000:  162    ,     ----,  980----,  238----,  980----,  238----,     ----, 2300----,     ----, 1166    , 1230----,     ----, 1166X   , 2785----,  298----,  300----,     ----,   96----, 3642----,-----    ,-----    ,     ----,-----    
TO536,20240324174500:  162    ,  234----,  980----,  230----,  980----,  230----,     ----, 2240----,     ----, 1138    , 1194----,     ----, 1138X   , 2674----,  290----,  286----,     ----,   96----, 3635----,-----    ,-----    ,     ----,-----    
TO536,20240324180000:  162    ,  210----,  980----,  210----,  960----,  210----,     ----, 2140----,     ----, 1118    , 1162----,     ----, 1118X   , 3138----,  270----,  272----,     ----,   96----, 3443----,-----    ,-----    ,     ----,-----    
TO536,20240324181500:  154    ,     ----,  980----,  494----,  920----,  494----,     ----, 2300----,     ----, 1090    , 1150----,     ----, 1090X   , 2916----,  554----,  558----,     ----,   96----, 3393----,-----    ,-----    ,     ----,-----    
TO536,20240324183000:  162    ,     ----,  920----,  342----,  960----,  342----,     ----, 2180----,     ----, 1042    , 1102----,     ----, 1042X   , 2653----,  402----,  400----,     ----,     ----, 3297----,-----    ,-----    ,     ----,-----    
TO536,20240324184500:  162    ,     ----,  980----,  286----,  980----,  286----,     ----, 2140----,     ----,  962    , 1042----,     ----,  962X   , 2737----,  346----,  348----,     ----,   47----, 2798----,-----    ,-----    ,     ----,-----    
TO536,20240324190000:  158    ,     ----,  920----,  206----,  980----,  206----,     ----, 2120----,     ----,  918    ,  942----,     ----,  918X   , 2814----,  266----,  268----,     ----,   48----, 2875----,-----    ,-----    ,     ----,-----    
TO536,20240324191500:  166    ,     ----,  920----,  278----,  960----,  278----,     ----, 2260----,     ----,  874    ,  942----,     ----,  874X   , 3156----,  338----,  337----,     ----,   96----, 2552----,-----    ,-----    ,     ----,-----    
TO536,20240324193000:  166    ,     ----,  980----,  422----,  940----,  422----,     ----, 2460----,     ----,  850    ,  918----,     ----,  850X   , 2620----,  482----,  411----,     ----,  108----, 2424----,-----    ,-----    ,     ----,-----    
TO536,20240324194500:  150    ,     ----,  920----,  438----,  860----,  438----,     ----, 2460----,     ----,  842    ,  910----,     ----,  842X   , 3314----,  498----,  433----,     ----,   84----, 2415----,-----    ,-----    ,     ----,-----    
TO536,20240324200000:  162    ,     ----,  860----,  386----,  940----,  386----,     ----, 2400----,     ----,  838    ,  906----,     ----,  838X   , 3230----,  446----,  361----,     ----,  108----, 2365----,-----    ,-----    ,     ----,-----    
TO536,20240324201500:  162    ,     ----,  860----,  238----,  960----,  238----,     ----, 2300----,     ----,  838    ,  894----,     ----,  838X   , 3361----,  298----,  300----,     ----,  108----, 2273----,-----    ,-----    ,     ----,-----    
TO536,20240324203000:  162    ,     ----,  860----,  206----,  980----,  206----,     ----, 2320----,     ----,  822    ,  882----,     ----,  822X   , 3460----,  266----,  268----,     ----,  108----, 2227----,-----    ,-----    ,     ----,-----    
TO536,20240324204500:  170    ,     ----,  920----,  182----,  980----,  182----,     ----, 2380----,     ----,  818    ,  878----,     ----,  818X   , 3507----,  242----,  239----,     ----,   84----, 2202----,-----    ,-----    ,     ----,-----    
TO536,20240324210000:  166    ,     ----,  920----,  174----,  980----,  174----,     ----, 2340----,     ----,  806    ,  866----,     ----,  806X   , 3268----,  234----,  231----,     ----,   96----, 2215----,-----    ,-----    ,     ----,-----    
TO536,20240324211500:  166    ,     ----,  860----,  174----,  980----,  174----,     ----, 2340----,     ----,  782    ,  862----,     ----,  782X   , 3073----,  234----,  231----,     ----,   84----, 1964----,-----    ,-----    ,     ----,-----    
TO536,20240324213000:  162    ,     ----,  920----,  170----,  980----,  170----,     ----, 2500----,     ----, 1350    ,  858----,     ----, 1350X   , 3329----,  230----,  228----,     ----,   96----, 2188----,-----    ,-----    ,     ----,-----    
TO536,20240324214500:  162    ,     ----,  920----,  162----,  860----,  162----,     ----, 2580----,     ----,  798    ,  858----,     ----,  798X   , 3458----,  222----,     ----,     ----,   96----, 2226----,-----G   ,-----    ,     ----,-----    
TO536,20240324220000:  166    ,     ----,  860----,  154----,  980----,  154----,     ----, 2560----,     ----,  798    ,  862----,     ----,  798X   , 3453----,  214----,     ----,     ----,   96----, 2240----,-----G   ,-----    ,     ----,-----    
TO536,20240324221500:  162    ,     ----,  860----,  146----,  960----,  146----,     ----, 2560----,     ----,  782    ,  854----,     ----,  782X   , 3595----,  206----,     ----,     ----,   96----, 2124----,-----G   ,-----    ,     ----,-----    
TO536,20240324223000:  162    ,     ----,  860----,  142----,  980----,  142----,     ----, 2620----,     ----,  782    ,  854----,     ----,  782X   , 3600----,  202----,     ----,     ----,   96----, 2106----,-----G   ,-----    ,     ----,-----    
TO536,20240324224500:  162    ,     ----,  860----,  146----,  960----,  146----,     ----, 2640----,     ----,  774    ,  842----,     ----,  774X   , 3705----,  206----,     ----,     ----,   96----, 2071----,-----G   ,-----    ,     ----,-----    
TO536,20240324230000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2360----,     ----,  774    ,  846----,     ----,  774X   , 3550----,     ----,     ----,     ----,   96----, 2087----,-----G   ,-----    ,     ----,-----    
TO536,20240324231500:  170    ,     ----,     ----,  170----,     ----,  170----,     ----, 2680----,     ----,  786    ,  850----,     ----,  786X   , 3310----,     ----,     ----,     ----,   59----, 2177----,-----G   ,-----    ,     ----,-----    
TO536,20240324233000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2620----,     ----,  806    ,  866----,     ----,  806X   , 3373----,     ----,     ----,     ----,   84----, 2237----,-----G   ,-----    ,     ----,-----    
TO536,20240324234500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2520----,     ----,  814    ,  878----,     ----,  814X   , 3230----,     ----,     ----,     ----,   96----, 2362----,-----G   ,-----    ,     ----,-----    
#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240325000000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2420----,     ----,  782    ,  850----,     ----,  782X   , 3162----,     ----,     ----,     ----,  108----, 2260----,-----G   ,-----    ,     ----,-----    
TO536,20240325001500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2360----,     ----,  734    ,  822----,     ----,  734X   , 3426----,     ----,     ----,     ----,  108----, 2099----,-----G   ,-----    ,     ----,-----    
TO536,20240325003000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2280----,     ----,  726    ,  802----,     ----,  726X   , 2714----,     ----,     ----,     ----,  108----, 1915----,-----G   ,-----    ,     ----,-----    
TO536,20240325004500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2380----,     ----,  726    ,  782----,     ----,  726X   , 3316----,     ----,     ----,     ----,   96----, 2040----,-----G   ,-----    ,     ----,-----    
TO536,20240325010000:  166    ,     ----,     ----,  138----,     ----,  138----,     ----, 2360----,     ----,  714    ,  726----,     ----,  714X   , 2779----,  198----,     ----,     ----,   84----, 1931----,-----G   ,-----    ,     ----,-----    
TO536,20240325011500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2400----,     ----,  694    ,  750----,     ----,  694X   , 3107----,     ----,     ----,     ----,   72----, 1833----,-----G   ,-----    ,     ----,-----    
TO536,20240325013000:  162    ,     ----,  900----,  138----,  980----,  138----,     ----, 2460----,     ----,  658    ,  718----,     ----,  658X   , 3293----,  198----,     ----,     ----,   49----, 1814----,-----G   ,-----    ,     ----,-----    
TO536,20240325014500:  166    ,  206----,     ----,  166----,     ----,  166----,     ----, 3000----,     ----,  590    ,  654----,     ----,  590X   , 3824----,  226----,     ----,     ----,  107----, 1346----,-----G   ,-----    ,     ----,-----    
TO536,20240325020000:  174    ,     ----,     ----,  174----,     ----,  174----,     ----, 3700----,     ----,  546    ,  594----,     ----,  546    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325021500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 4040----,     ----,  482    ,  574----,     ----,  482    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325023000:  202    ,     ----,     ----,  202----,     ----,  202----,     ----, 4460----,     ----,         ,  582----,     ----,         ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325024500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 4000----,     ----,  510    ,  574----,     ----,  510    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325030000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 3940----,     ----,  534    ,  586----,     ----,  534    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325031500:  214    ,     ----,     ----,  214----,     ----,  214----,     ----, 5120----,     ----,  526    ,  562----,     ----,  526    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325033000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 5240----,     ----,  506    ,  554----,     ----,  506    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325034500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 3880----,     ----,  526    ,  586----,     ----,  526    ,     ----,     ----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325040000:  206    ,     ----,     ----,  206----,     ----,  206----,     ----, 4280----,     ----, 1330    ,  590----,     ----, 1330X   , 4137----,     ----,     ----,     ----, 9999----, 1152----,-----G   ,-----    ,     ----,-----    
TO536,20240325041500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 3220----,     ----,  558    ,  618----,     ----,  558X   , 4045----,     ----,     ----,     ----,     ----, 1411----,-----G   ,-----    ,     ----,-----    
TO536,20240325043000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2740----,     ----,  574    ,  622----,     ----,  574X   , 2992----,     ----,     ----,     ----,  119----, 1383----,-----G   ,-----    ,     ----,-----    
TO536,20240325044500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2460----,     ----,  558    ,  590----,     ----,  558X   , 3258----,     ----,     ----,     ----,   83----, 1530----,-----G   ,-----    ,     ----,-----    
TO536,20240325050000:  158    ,     ----,     ----,  158----,     ----,  158----,     ----, 2360----,     ----,  554    ,  578----,     ----,  554X   , 3348----,     ----,     ----,     ----,  133----, 1251----,-----G   ,-----    ,     ----,-----    
TO536,20240325051500:  162    ,     ----,     ----,  146----,     ----,  146----,     ----, 2560----,     ----,  554    ,  590----,     ----,  554X   , 3090----,  206----,     ----,     ----,   85----, 1520----,-----G   ,-----    ,     ----,-----    
TO536,20240325053000:  190    ,     ----, 1420----,  178----,     ----,  178----,     ----, 2560----,     ----,  594    ,  646----,     ----,  594X   , 2788----,  238----,     ----,     ----,  108----, 1616----,-----G   ,-----    ,     ----,-----    
TO536,20240325054500:  166    ,  282----, 1220----,  222----,  980----,  222----,     ----, 2260----,     ----,  650    ,  710----,     ----,  650X   , 2639----,  282----,     ----,     ----,   96----, 2157----,-----G   ,-----    ,     ----,-----    
TO536,20240325060000:  170    ,     ----, 1280----,  254----,  980----,  254----,     ----, 2120----,     ----,  642    ,  706----,     ----,  642X   , 2415----,  314----,  318----,     ----,  108----, 1926----,-----    ,-----    ,     ----,-----    
TO536,20240325061500:  182    ,  322----, 1280----,  262----, 1250----,  262----,     ----, 2100----,     ----,  606    ,  658----,     ----,  606X   , 2501----,  322----,  314----,     ----,   96----, 2047----,-----    ,-----    ,     ----,-----    
TO536,20240325063000:  190    ,  322----, 1220----,  290----, 1190----,  290----,     ----, 2180----,     ----,  590    ,  646----,     ----,  590X   , 2575----,  350----,  286----,     ----,   96----, 1962----,-----    ,-----    ,     ----,-----    
TO536,20240325064500:  170    ,  334----,  990----,  306----,  980----,  306----,     ----, 2180----,     ----,  562    ,  622----,     ----,  562X   , 2279----,  366----,  361----,     ----,   96----, 2023----,-----    ,-----    ,     ----,-----    
TO536,20240325070000:  182    ,  274----,  980----,  322----,  960----,  322----,     ----, 2200----,     ----,  590    ,  650----,     ----,  590X   , 2053----,  382----,  263----,     ----,   47----, 1614----,-----    ,-----    ,     ----,-----    
TO536,20240325071500:  186    ,  286----,  980----,  334----,  960----,  334----,     ----, 2220----,     ----,  714    ,  774----,     ----,  714X   , 2754----,  394----,  400----,     ----,  132----, 1811----,-----    ,-----    ,     ----,-----    
TO536,20240325073000:  182    ,  386----,  930----,  342----,  960----,  342----,     ----, 2200----,     ----,  834    ,  894----,     ----,  834X   , 3342----,  402----,  337----,     ----,  108----, 2314----,-----    ,-----    ,     ----,-----    
TO536,20240325074500:  202    ,  330----, 1000----,  290----,     ----,  290----,     ----, 2540----,     ----,  918    ,  986----,     ----,  918X   , 3066----,  350----,     ----,     ----,  121----, 2654----,-----G   ,-----    ,     ----,-----    
TO536,20240325080000:  202    ,  330----,  980----,  310----, 1000----,  310----,     ----, 2200----,     ----,  978    , 1058----,     ----,  978X   , 3450----,  370----,  365----,     ----,   59----, 2815----,-----    ,-----    ,     ----,-----    
TO536,20240325081500:  198    ,  342----,  980----,  314----,  980----,  314----,     ----, 2480----,     ----, 1026    , 1062----,     ----, 1026X   , 2922----,  374----,  369----,     ----,   96----, 3061----,-----    ,-----    ,     ----,-----    
TO536,20240325083000:  198    ,  338----,  980----,  322----, 1000----,  322----,     ----, 2100----, 2540----, 1042    , 1126----,     ----, 1042X   , 1614----,  382----,  333----,     ----,   49----, 3828----,-----    ,-----    ,     ----,-----    
TO536,20240325084500:  210    ,  358----,  980----,  322----, 1020----,  322----,     ----, 2120----, 2880----, 1134    , 1134----,     ----, 1134X   ,     ----,  382----,  321----,     ----,   96----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240325090000:  226    ,  362----, 1000----,  326----,  940----,  326----,     ----, 2100----, 2800----, 1090    , 1782----,     ----, 1090X   , 3527----,  386----,     ----,     ----,   96----, 3086----,-----G   ,-----    ,     ----,-----    
TO536,20240325091500:  206    ,  362----,  980----,  430----,  980----,  430----,     ----, 2260----, 2800----, 1118    , 1158----,     ----, 1118X   , 3237----,  490----,  496----,     ----,   71----, 3112----,-----    ,-----    ,     ----,-----    
TO536,20240325093000:  274    ,  462----, 1040----,  422----,  980----,  422----,     ----, 2380----, 2740----, 1138    , 1150----,     ----, 1138X   , 3032----,  482----,  340----,     ----,  133----, 3330----,-----    ,-----    ,     ----,-----    
TO536,20240325094500:  262    ,  402----,  930----,  342----,  980----,  342----,     ----, 2340----, 2620----, 1126    , 1134----,     ----, 1126X   , 3432----,  402----,  395----,     ----,  120----, 3164----,-----    ,-----    ,     ----,-----    
TO536,20240325100000:  290    ,  386----, 1000----,  374----,  960----,  374----,     ----, 2300----, 2660----, 1118    , 1150----,     ----, 1118X   , 3162----,  434----,  437----,     ----,  108----, 3263----,-----    ,-----    ,     ----,-----    
TO536,20240325101500:  458    ,     ----,     ----,  458----,     ----,  458----,     ----, 2280----, 2520----, 1118    , 1158----,     ----, 1118X   , 3711----,     ----,     ----,     ----,     ----, 3049----,-----G   ,-----    ,     ----,-----    
TO536,20240325103000:  282    ,     ----, 1100----,  466----,  960----,  466----,     ----, 2220----, 3000----, 1146    , 1166----,     ----, 1146X   , 3439----,  526----,  526----,     ----,  132----, 3224----,-----    ,-----    ,     ----,-----F   
TO536,20240325104500:  330    ,  474----,  990----,  446----,  970----,  446----,     ----, 2420----, 2860----, 1170    , 1246----,     ----, 1170X   , 3408----,  506----,  511----,     ----, 9999----, 3387----,-----    ,-----    ,     ----,-----    
TO536,20240325110000:  478    ,     ----, 1160----,  478----,     ----,  478----,     ----, 2280----, 2780----, 1206    , 1262----,     ----, 1206X   , 3586----,     ----,     ----,     ----, 9999----, 3315----,-----G   ,-----    ,     ----,-----F   
TO536,20240325111500:  334    ,     ----, 1100----,  438----,  990----,  438----,  548----, 2140----, 2700----, 1218    , 1286----,     ----, 1218X   , 3163----,  498----,  504----,     ----,     ----, 3563----,-----    ,-----    ,     ----,-----    
TO536,20240325113000:  310    ,     ----, 1100----,  454----,  980----,  454----,     ----, 2280----, 2560----, 1210    , 1274----,     ----, 1210X   , 3071----,  514----,  519----,     ----, 9999----, 3549----,-----    ,-----    ,     ----,-----    
TO536,20240325114500:  326    ,     ----, 1040----,  434----,  930----,  434----,     ----, 2100----, 2500----, 1230    , 1310----,     ----, 1230X   , 3197----,  494----,  496----,     ----,     ----, 3591----,-----    ,-----    ,     ----,-----    
TO536,20240325120000:  354    ,     ----, 1040----,  486----,  980----,  486----,     ----, 2200----, 2660----, 1250    , 1318----,     ----, 1250X   , 3371----,  546----,  515----,     ----, 9999----, 3564----,-----    ,-----    ,     ----,-----    
TO536,20240325121500:  334    ,     ----,  980----,  446----,  980----,  446----,     ----, 2140----, 2580----, 1250    , 1334----,     ----, 1250X   , 3287----,  506----,  487----,     ----,     ----, 3610----,-----    ,-----    ,     ----,-----    
TO536,20240325123000:  334    ,     ----,  980----,  462----,  920----,  462----,     ----, 2520----, 2580----, 1262    , 1342----,     ----, 1262X   , 3243----,  522----,  504----,     ----, 9999----, 3626----,-----    ,-----    ,     ----,-----    
TO536,20240325124500:  326    ,     ----,  980----,  422----,  980----,  422----,     ----, 2260----, 2420----, 1278    , 1354----,     ----, 1278X   , 2997----,  482----,  487----,     ----,     ----, 3678----,-----    ,-----    ,     ----,-----    
TO536,20240325130000:  338    ,     ----,  980----,  330----,  980----,  330----,     ----, 2280----, 2860----, 1302    , 1358----,     ----, 1302X   , 3286----,  390----,  395----,     ----,     ----, 3697----,-----    ,-----    ,     ----,-----    
TO536,20240325131500:  294    ,  334----, 1040----,  322----,  980----,  322----,     ----, 2300----, 3120----, 1322    , 1382----,     ----, 1322X   , 3233----,  382----,  386----,     ----,     ----, 3807----,-----    ,-----    ,     ----,-----    
TO536,20240325133000:  262    ,  326----,  980----,  386----,  980----,  386----,     ----, 2260----, 2720----, 1330    , 1394----,     ----, 1330X   , 3244----,  446----,  441----,     ----,  133----, 3867----,-----    ,-----    ,     ----,-----    
TO536,20240325134500:  310    ,  366----,  920----,  306----,  960----,  306----,     ----, 2300----, 2700----, 1318    , 1382----,     ----, 1318X   , 3322----,  366----,  361----,     ----,  120----, 3859----,-----    ,-----    ,     ----,-----    
TO536,20240325140000:  298    ,     ----,  900----,  290----,  960----,  290----,     ----, 2380----, 2560----, 1302    , 1378----,     ----, 1302X   , 3184----,  350----,     ----,     ----,  132----, 3810----,-----G   ,-----    ,     ----,-----    
TO536,20240325141500:  266    ,     ----,  980----,  298----,  980----,  298----,     ----, 2220----, 2460----, 1302    , 1378----,     ----, 1302X   , 2804----,  358----,  361----,     ----,  108----, 3851----,-----    ,-----    ,     ----,-----    
TO536,20240325143000:  234    ,  346----,  930----,  286----,  980----,  286----,     ----, 2120----, 2460----, 1306    , 1374----,     ----, 1306X   , 2713----,  346----,  337----,     ----,  132----, 3885----,-----    ,-----    ,     ----,-----    
TO536,20240325144500:  198    ,     ----,  920----,  246----,  800----,  246----,     ----, 2220----, 2380----, 1294    , 1350----,     ----, 1294X   , 3267----,  306----,  311----,     ----,     ----, 3808----,-----    ,-----    ,     ----,-----    
TO536,20240325150000:  198    ,  338----, 1050----,  278----,  980----,  278----,     ----, 2280----, 2400----, 1278    , 1354----,     ----, 1278X   , 3108----,  338----,  340----,     ----,   37----, 3746----,-----    ,-----    ,     ----,-----    
TO536,20240325151500:  182    ,  278----,  920----,  262----,  960----,  262----,     ----, 2120----, 2320----, 1230    , 1306----,     ----, 1230X   , 2933----,  322----,  318----,     ----,  121----, 3719----,-----    ,-----    ,     ----,-----    
TO536,20240325153000:  178    ,  326----,  860----,  266----,  980----,  266----,     ----, 2160----,     ----, 1206    , 1286----,     ----, 1206X   , 3412----,  326----,  321----,     ----,  120----, 3471----,-----    ,-----    ,     ----,-----    
TO536,20240325154500:  450    ,     ----,     ----,  450----,     ----,  450----,     ----, 2260----,     ----, 1186    , 1258----,     ----, 1186X   , 3029----,     ----,     ----,     ----,  108----, 3512----,-----G   ,-----    ,     ----,-----    
TO536,20240325160000:  186    ,  302----,  990----,  242----,  840----,  242----,     ----, 2260----,     ----, 1154    , 1230----,     ----, 1154X   , 3096----,  302----,  300----,     ----,  108----, 3431----,-----    ,-----    ,     ----,-----    
TO536,20240325161500:  190    ,  298----,  990----,  238----,  960----,  238----,     ----, 2280----,     ----, 1126    , 1198----,     ----, 1126X   , 2982----,  298----,  300----,     ----,   96----, 3381----,-----    ,-----    ,     ----,-----F   
TO536,20240325163000:  182    ,  282----,  930----,  222----, 1000----,  222----,     ----, 2280----,     ----, 1110    , 1166----,     ----, 1110X   , 3059----,  282----,  281----,     ----,  108----, 3345----,-----    ,-----    ,     ----,-----    
TO536,20240325164500:  162    ,  254----,  930----,  194----,  840----,  194----,     ----, 2220----,     ----, 1118    , 1166----,     ----, 1118X   , 3339----,  254----,  255----,     ----,   96----, 3289----,-----    ,-----    ,     ----,-----    
TO536,20240325170000:  166    ,  242----,  990----,  182----,  980----,  182----,     ----, 2260----,     ----, 1118    , 1146----,     ----, 1118X   , 2958----,  242----,  243----,     ----,   96----, 3446----,-----    ,-----    ,     ----,-----    
TO536,20240325171500:  166    ,  222----, 1040----,  162----,  980----,  162----,     ----, 2280----,     ----, 1114    , 1166----,     ----, 1114X   , 2873----,  222----,     ----,     ----,   96----, 3398----,-----G   ,-----    ,     ----,-----    
