#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240322164500:  170    ,     ----,  920----,  478----,  860----,  478----,     ----, 2200----,     ----, 1118    , 1158----,     ----, 1118X   , 2822----,  538----,  430----,     ----,   84----, 3519----,-----    ,-----    ,     ----,-----    
TO536,20240322170000:  158    ,     ----,  920----,  338----,  960----,  338----,     ----, 2240----,     ----, 1094    , 1154----,     ----, 1094X   , 2709----,  398----,  369----,     ----,  108----, 3457----,-----    ,-----    ,     ----,-----    
TO536,20240322171500:  166    ,  382----,  920----,  322----,  980----,  322----,     ----, 2220----,     ----, 1086    , 1150----,     ----, 1086X   , 2818----,  382----,  365----,     ----,  108----, 3407----,-----    ,-----    ,     ----,-----    
TO536,20240322173000:  162    ,     ----,  920----,  322----,  980----,  322----,     ----, 2180----,     ----, 1066    , 1126----,     ----, 1066X   , 2837----,  382----,  352----,     ----,   96----, 3379----,-----    ,-----    ,     ----,-----    
TO536,20240322174500:  174    ,     ----,  980----,  270----,  840----,  270----,     ----, 2180----,     ----, 1046    , 1118----,     ----, 1046X   , 3208----,  330----,     ----,     ----,  108----, 3165----,-----G   ,-----    ,     ----,-----    
TO536,20240322180000:  162    ,     ----, 1100----,  258----,  980----,  258----,     ----, 2180----,     ----, 1006    , 1078----,     ----, 1006X   , 2848----,  318----,  311----,     ----,   36----, 3155----,-----    ,-----    ,     ----,-----    
TO536,20240322181500:  162    ,     ----, 1040----,  386----,  980----,  386----,     ----, 2300----,     ----, 1046    , 1074----,     ----, 1046X   , 2674----,  446----,  418----,     ----,   36----, 3146----,-----    ,-----    ,     ----,-----    
TO536,20240322183000:  154    ,     ----,  980----,  422----,  960----,  422----,     ----, 2360----,     ----,  942    , 1014----,     ----,  942X   , 2857----,  482----,  474----,     ----,   47----, 3011----,-----    ,-----    ,     ----,-----    
TO536,20240322184500:  162    ,     ----,  860----,  270----,  940----,  270----,     ----, 2240----,     ----,  914    ,  950----,     ----,  914X   , 1383----,  330----,  243----,     ----,   61----,  100----,-----    ,-----    ,     ----,-----    
TO536,20240322190000:  166    ,     ----,  860----,  258----,  920----,  258----,     ----, 2180----,     ----,  882    ,  942----,     ----,  882X   , 2928----,  318----,  318----,     ----,  108----, 2726----,-----    ,-----    ,     ----,-----    
