UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms         nT_GSE_(All_Qs)        nT_GSE_(All_Qs)        nT_GSE_(All_Qs)
17-03-2015 03:05:50.953               -5.98997                15.5620                26.8502
17-03-2015 03:05:55.031               -8.79327                13.0045                28.5206
17-03-2015 03:05:59.109               -7.18982                11.9523                27.4799
17-03-2015 03:06:03.188               -9.33933                16.0968                28.8316
17-03-2015 03:06:07.266               -11.5390                16.1474                28.7379
17-03-2015 03:06:11.344               -8.92937                11.6047                28.6787
17-03-2015 03:06:15.422               -8.62351                16.3711                28.1665
17-03-2015 03:06:19.500               -11.2400                17.2513                26.7246
17-03-2015 03:06:23.578               -8.38866                14.5948                29.1865
17-03-2015 03:06:27.657               -10.9671                13.7035                26.4095
17-03-2015 03:06:31.735               -11.5379                17.7111                27.5415
17-03-2015 03:06:35.813               -11.1421                16.6669                25.9922
17-03-2015 03:06:39.891               -11.1679                8.85728                28.4846
17-03-2015 03:06:43.969               -8.18986                14.8632                26.0163
17-03-2015 03:06:48.048               -11.7039                14.7130                27.1200
17-03-2015 03:06:52.126               -10.0373                12.8792                27.3607
17-03-2015 03:06:56.204               -9.04481                14.0090                27.5113
17-03-2015 03:07:00.282               -10.7387                10.2493                30.4080
17-03-2015 03:07:04.360               -6.63441                16.3840                26.2238
17-03-2015 03:07:08.438               -9.55658                12.9043                25.7885
17-03-2015 03:07:12.517               -9.31555                14.0496                24.3153
17-03-2015 03:07:16.595               -10.9527                12.1542                25.7328
17-03-2015 03:07:20.673               -7.89483                15.6300                26.3656
17-03-2015 03:07:24.751               -7.97632                15.8621                25.9770
17-03-2015 03:07:28.829               -9.79041                13.3968                25.9502
17-03-2015 03:07:32.907               -8.71462                14.8374                27.1408
17-03-2015 03:07:36.986               -8.65700                16.0873                28.0039
17-03-2015 03:07:41.064               -7.76267                15.0582                28.3839
17-03-2015 03:07:45.142               -9.44422                13.8405                25.7973
17-03-2015 03:07:49.220               -8.22826                14.1390                25.2583
17-03-2015 03:07:53.298               -7.96726                16.7033                24.4586
17-03-2015 03:07:57.377               -11.5998                9.34631                26.6318
17-03-2015 03:08:01.455               -4.84922                13.4945                29.6010
17-03-2015 03:08:05.533               -6.13258                13.6653                27.2979
17-03-2015 03:08:09.611               -9.36337                10.5695                27.8178
17-03-2015 03:08:13.689               -2.47857                13.4381                27.4610
17-03-2015 03:08:17.767               -7.67924                16.1437                24.7779
17-03-2015 03:08:21.846               -12.9769                11.5309                23.6841
17-03-2015 03:08:25.924               -8.97010                14.6762                25.2489
17-03-2015 03:08:30.002               -5.49710                11.3804                29.2000
17-03-2015 03:08:34.080               -8.50256                12.9960                30.6136
17-03-2015 03:08:38.158               -13.6552                11.4461                25.5781
17-03-2015 03:08:42.237               -8.02857                11.1522                29.8111
17-03-2015 03:08:46.315               -10.1380                9.45912                29.2482
17-03-2015 03:08:50.393               -9.33775                12.5413                27.3280
17-03-2015 03:08:54.471               -9.99473                15.0649                26.8662
17-03-2015 03:08:58.549               -9.17352                15.5871                25.7536
17-03-2015 03:09:02.627               -11.1605                13.4066                25.0437
17-03-2015 03:09:06.706               -10.8644                13.9502                27.4362
17-03-2015 03:09:10.784               -8.01858                15.7185                25.6893
17-03-2015 03:09:14.862               -8.35603                12.3190                28.4699
17-03-2015 03:09:18.940               -7.14739                12.4395                26.5504
17-03-2015 03:09:23.018               -7.25884                9.54955                28.0254
17-03-2015 03:09:27.096               -8.86397                12.1004                29.0953
